reaction	EC	subsystem	kcat
PNTK	2.7.1.33	Cofactor and Prosthetic Group Biosynthesis	NaN
POR5	1.2.7.1	Pyruvate Metabolism	NaN
POX	1.2.2.2	Oxidative Phosphorylation	1
PPA	3.6.1.1	Anaplerotic Reactions	NaN
PPA2	3.6.1.1	Anaplerotic Reactions	NaN
PPAKr	2.7.2.1	Alternate Carbon Metabolism	NaN
PPBNGS	4.2.1.24	Cofactor and Prosthetic Group Biosynthesis	NaN
PPC	4.1.1.31	Anaplerotic Reactions	NaN
PPCDC	4.1.1.36	Cofactor and Prosthetic Group Biosynthesis	NaN
PPCK	4.1.1.49	Anaplerotic Reactions	NaN
PPGPPDP	3.1.7.2	Cofactor and Prosthetic Group Biosynthesis	NaN
PPK2r	2.7.4.1	Oxidative Phosphorylation	NaN
PPKr	2.7.4.1	Oxidative Phosphorylation	NaN
PPM	5.4.2.7	Alternate Carbon Metabolism	NaN
PPM2	5.4.2.7	Alternate Carbon Metabolism	NaN
PPNCL2	6.3.2.5	Cofactor and Prosthetic Group Biosynthesis	NaN
PPND	1.3.1.12	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
PPNDH	4.2.1.51	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
PPPGO	1.3.3.4	Cofactor and Prosthetic Group Biosynthesis	NaN
PPPGO3	1.3.3.4	Cofactor and Prosthetic Group Biosynthesis	NaN
PPS	2.7.9.2	Glycolysis/Gluconeogenesis	NaN
PRAGSr	6.3.4.13	Purine and Pyrimidine Biosynthesis	NaN
PRAIS	6.3.3.1	Purine and Pyrimidine Biosynthesis	NaN
PRAIi	5.3.1.24	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
PRAMPC	3.5.4.19	Histidine Metabolism	NaN
PRASCSi	6.3.2.6	Purine and Pyrimidine Biosynthesis	NaN
PRATPP	3.6.1.31	Histidine Metabolism	NaN
PRFGS	6.3.5.3	Purine and Pyrimidine Biosynthesis	NaN
PRMICI	5.3.1.16	Histidine Metabolism	NaN
PROD2	1.5.99.8	Arginine and Proline Metabolism	NaN
PROTRS	6.1.1.15	tRNA Charging	NaN
PRPPS	2.7.6.1	Histidine Metabolism	NaN
PSCVT	2.5.1.19	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
PSD120	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSD140	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSD141	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSD160	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSD161	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSD180	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSD181	4.1.1.65	Glycerophospholipid Metabolism	NaN
PSERT	2.6.1.52	Glycine and Serine Metabolism	NaN
PSP_L	3.1.3.3	Glycine and Serine Metabolism	NaN
PSSA120	2.7.8.8	Glycerophospholipid Metabolism	NaN
PSSA140	2.7.8.8	Glycerophospholipid Metabolism	NaN
PSSA141	2.7.8.8	Glycerophospholipid Metabolism	NaN
PSSA160	2.7.8.8	Glycerophospholipid Metabolism	NaN
PSSA161	2.7.8.8	Glycerophospholipid Metabolism	NaN
PSSA180	2.7.8.8	Glycerophospholipid Metabolism	NaN
PSSA181	2.7.8.8	Glycerophospholipid Metabolism	NaN
PTAr	2.3.1.8	Pyruvate Metabolism	NaN
PTPATi	2.7.7.3	Cofactor and Prosthetic Group Biosynthesis	NaN
PTRCTA	2.6.1.29	Arginine and Proline Metabolism	NaN
PUNP1	2.4.2.1	Nucleotide Salvage Pathway	NaN
PUNP2	2.4.2.1	Nucleotide Salvage Pathway	NaN
PUNP3	2.4.2.1	Nucleotide Salvage Pathway	NaN
PUNP4	2.4.2.1	Nucleotide Salvage Pathway	NaN
PUNP5	2.4.2.1	Nucleotide Salvage Pathway	NaN
PUNP6	2.4.2.1	Nucleotide Salvage Pathway	NaN
PUNP7	2.4.2.1	Nucleotide Salvage Pathway	NaN
PYAM5PO	1.4.3.5	Cofactor and Prosthetic Group Biosynthesis	NaN
PYDAMK	2.7.1.35	Cofactor and Prosthetic Group Biosynthesis	NaN
PYDXK	2.7.1.35	Cofactor and Prosthetic Group Biosynthesis	NaN
PYDXNK	2.7.1.35	Cofactor and Prosthetic Group Biosynthesis	NaN
PYK	2.7.1.40	Glycolysis/Gluconeogenesis	NaN
PYNP2r	2.4.2.2	Nucleotide Salvage Pathway	NaN
QUINDH	1.1.1.282	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
RBFK	2.7.1.26	Cofactor and Prosthetic Group Biosynthesis	NaN
RBFSa	2.5.1.78	Cofactor and Prosthetic Group Biosynthesis	NaN
RBFSb	2.5.1.9	Cofactor and Prosthetic Group Biosynthesis	NaN
RBK	2.7.1.15	Alternate Carbon Metabolism	NaN
RBK_L1	2.7.1.16	Alternate Carbon Metabolism	NaN
RBP4E	5.1.3.4	Alternate Carbon Metabolism	NaN
RHCCE	4.4.1.21	Methionine Metabolism	NaN
RMI	5.3.1.14	Alternate Carbon Metabolism	NaN
RMK	2.7.1.5	Alternate Carbon Metabolism	NaN
RMPA	4.1.2.19	Alternate Carbon Metabolism	NaN
RNDR1	1.17.4.1	Nucleotide Salvage Pathway	NaN
RNDR2	1.17.4.1	Nucleotide Salvage Pathway	NaN
RNDR3	1.17.4.1	Nucleotide Salvage Pathway	NaN
RNDR4	1.17.4.1	Nucleotide Salvage Pathway	NaN
RPE	5.1.3.1	Pentose Phosphate Pathway	NaN
RPI	5.3.1.6	Pentose Phosphate Pathway	NaN
SADH	2.6.1.69	Arginine and Proline Metabolism	NaN
SARCOX	1.5.3.1	Glycine and Serine Metabolism	NaN
SBTPD	1.1.1.140	Alternate Carbon Metabolism	NaN
SDPDS	3.5.1.18	Threonine and Lysine Metabolism	NaN
SDPTA	2.6.1.17	Threonine and Lysine Metabolism	NaN
SELCYSS	2.9.1.1	tRNA Charging	1
SELNPS	2.7.9.3	Unassigned	NaN
SEPHCHCS	2.2.1.9	Cofactor and Prosthetic Group Biosynthesis	NaN
SERAT	2.3.1.30	Cysteine Metabolism	NaN
SERD_D	4.3.1.18	Glycine and Serine Metabolism	NaN
SERD_L	4.3.1.17	Glycine and Serine Metabolism	NaN
SERTRS	6.1.1.11	tRNA Charging	NaN
SERTRS2	6.1.1.11	tRNA Charging	NaN
SFGTHi	3.1.2.12	Cofactor and Prosthetic Group Biosynthesis	NaN
SHK3Dr	1.1.1.25	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
SHKK	2.7.1.71	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
SHSL1	2.5.1.48	Methionine Metabolism	NaN
SPMDAT1	2.3.1.57	Arginine and Proline Metabolism	NaN
SPMDAT2	2.3.1.57	Arginine and Proline Metabolism	NaN
SPMS	2.5.1.16	Arginine and Proline Metabolism	NaN
SPODM	1.15.1.1	Unassigned	NaN
SPODMpp	1.15.1.1	Unassigned	NaN
SSALx	1.2.1.24	Arginine and Proline Metabolism	NaN
SSALy	1.2.1.16	Arginine and Proline Metabolism	NaN
SUCBZL	6.2.1.26	Cofactor and Prosthetic Group Biosynthesis	NaN
SUCDi	1.3.5.1	Oxidative Phosphorylation	NaN
SUCOAS	6.2.1.5	Citric Acid Cycle	NaN
SULRi	1.8.1.2	Cysteine Metabolism	NaN
TAGURr	1.1.1.58	Alternate Carbon Metabolism	NaN
TALA	2.2.1.2	Pentose Phosphate Pathway	NaN
TARTD	4.2.1.32	Alternate Carbon Metabolism	NaN
TAUDO	1.14.11.17	Alternate Carbon Metabolism	NaN
TDP	3.6.1.15	Cofactor and Prosthetic Group Biosynthesis	NaN
TDPAGTA	2.6.1.33	Cell Envelope Biosynthesis	NaN
TDPDRE	5.1.3.13	Cell Envelope Biosynthesis	NaN
TDPDRR	1.1.1.133	Cell Envelope Biosynthesis	NaN
TDPGDH	4.2.1.46	Cell Envelope Biosynthesis	NaN
TDSK	2.7.1.130	Lipopolysaccharide Biosynthesis / Recycling	NaN
TGBPA	4.1.2.40	Alternate Carbon Metabolism	NaN
THD2pp	1.6.1.1	Oxidative Phosphorylation	NaN
THDPS	2.3.1.117	Threonine and Lysine Metabolism	NaN
THFAT	2.1.2.10	Folate Metabolism	NaN
THRA2i	4.1.2.5	Threonine and Lysine Metabolism	NaN
THRAi	4.1.2.5	Threonine and Lysine Metabolism	NaN
THRD	1.1.1.103	Glycine and Serine Metabolism	NaN
THRD_L	4.3.1.19	Valine, Leucine, and Isoleucine Metabolism	NaN
THRS	4.2.3.1	Threonine and Lysine Metabolism	NaN
THRTRS	6.1.1.3	tRNA Charging	NaN
TKT1	2.2.1.1	Pentose Phosphate Pathway	NaN
TKT2	2.2.1.1	Pentose Phosphate Pathway	NaN
TMDK1	2.7.1.21	Nucleotide Salvage Pathway	NaN
TMDPP	2.4.2.4	Nucleotide Salvage Pathway	NaN
TMDS	2.1.1.45	Nucleotide Salvage Pathway	NaN
TMK	2.7.1.89	Cofactor and Prosthetic Group Biosynthesis	NaN
TMPK	2.7.4.16	Cofactor and Prosthetic Group Biosynthesis	NaN
TMPPP	2.5.1.3	Cofactor and Prosthetic Group Biosynthesis	NaN
TPI	5.3.1.1	Glycolysis/Gluconeogenesis	NaN
TRDR	1.8.1.9	Oxidative Phosphorylation	NaN
TRE6PH	3.2.1.93	Alternate Carbon Metabolism	NaN
TRE6PP	3.1.3.12	Alternate Carbon Metabolism	NaN
TRE6PS	2.4.1.15	Alternate Carbon Metabolism	NaN
TREH	3.2.1.28	Alternate Carbon Metabolism	NaN
TREHpp	3.2.1.28	Alternate Carbon Metabolism	NaN
TRPAS2	4.1.99.1	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
TRPS1	4.2.1.20	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
TRPS2	4.2.1.20	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
TRPS3	4.2.1.20	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
TRPTRS	6.1.1.2	tRNA Charging	NaN
TRSARr	1.1.1.60	Alternate Carbon Metabolism	NaN
TYROXDApp	1.4.3.21	Nitrogen Metabolism	NaN
TYRTA	2.6.1.5	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
TYRTRS	6.1.1.1	tRNA Charging	1
UAAGDS	6.3.2.13	Cell Envelope Biosynthesis	NaN
UACGALPpp	3.6.1.45	Alternate Carbon Metabolism	NaN
UACGAMPpp	3.6.1.45	Alternate Carbon Metabolism	NaN
UAG2E	5.1.3.14	Cell Envelope Biosynthesis	NaN
UAGAAT	2.3.1.129	Lipopolysaccharide Biosynthesis / Recycling	NaN
UAGCVT	2.5.1.7	Cell Envelope Biosynthesis	NaN
UAGDP	2.7.7.23	Cell Envelope Biosynthesis	NaN
UAMAGS	6.3.2.9	Cell Envelope Biosynthesis	NaN
UAMAS	6.3.2.8	Cell Envelope Biosynthesis	NaN
UAPGR	1.1.1.158	Cell Envelope Biosynthesis	NaN
UDCPDP	3.6.1.27	Cell Envelope Biosynthesis	NaN
UDCPDPpp	3.6.1.27	Cell Envelope Biosynthesis	NaN
UDPG4E	5.1.3.2	Alternate Carbon Metabolism	NaN
UDPGALM	5.4.99.9	Cell Envelope Biosynthesis	NaN
UDPGALPpp	3.6.1.45	Alternate Carbon Metabolism	NaN
UDPGD	1.1.1.22	Cell Envelope Biosynthesis	NaN
UDPGPpp	3.6.1.45	Alternate Carbon Metabolism	NaN
UGLCURPpp	3.6.1.45	Alternate Carbon Metabolism	NaN
UGLT	2.7.7.12	Alternate Carbon Metabolism	NaN
UGLYCH	3.5.3.19	Nitrogen Metabolism	NaN
UGMDDS	6.3.2.15	Cell Envelope Biosynthesis	NaN
UMPK	2.7.4.14	Nucleotide Salvage Pathway	NaN
UPP3MT	2.1.1.107	Cofactor and Prosthetic Group Biosynthesis	NaN
UPP3S	4.2.1.75	Cofactor and Prosthetic Group Biosynthesis	NaN
UPPDC1	4.1.1.37	Cofactor and Prosthetic Group Biosynthesis	NaN
UPPRT	2.4.2.9	Nucleotide Salvage Pathway	NaN
URDGLYCD	1.1.1.154	Alternate Carbon Metabolism	NaN
URIC	1.7.3.3	Unassigned	NaN
URIH	3.2.2.8	Alternate Carbon Metabolism	NaN
URIK2	2.7.1.48	Nucleotide Salvage Pathway	NaN
VALTA	2.6.1.42	Valine, Leucine, and Isoleucine Metabolism	NaN
VALTRS	6.1.1.9	tRNA Charging	NaN
VPAMTr	2.6.1.66	Valine, Leucine, and Isoleucine Metabolism	NaN
XAND	1.1.1.204	Nucleotide Salvage Pathway	NaN
XPPT	2.4.2.22	Nucleotide Salvage Pathway	NaN
XTSNH	3.2.2.8	Nucleotide Salvage Pathway	NaN
XYLI1	5.3.1.5	Alternate Carbon Metabolism	NaN
XYLI2	5.3.1.5	Alternate Carbon Metabolism	NaN
XYLK	2.7.1.17	Alternate Carbon Metabolism	NaN
XYLK2	2.7.1.53	Alternate Carbon Metabolism	NaN
